line_number,level,part_number,description,manufacturer,supplier,quantity,unit,cas_numbers
36,1,ADHESIVE-CA,Cyanoacrylate adhesive,Loctite,DigiKey,2,g,9011-14-7|67-64-1
37,1,ADHESIVE-EPOXY,Two-part epoxy adhesive,3M,DigiKey,5,g,1675-54-3
38,1,CONFORMAL-COATING,Acrylic conformal coating,HumiSeal,DigiKey,10,g,9011-14-7|67-63-0
39,1,SOLDER-FLUX,Rosin-based no-clean flux,AIM,DigiKey,5,g,8050-09-7|57-11-4
40,1,CLEANING-ISOPROPANOL,Isopropyl alcohol cleaning solvent,Fisher,ChemSupply,100,ml,67-63-0
41,1,CLEANING-ACETONE,Acetone cleaning solvent,Fisher,ChemSupply,100,ml,67-64-1
42,1,LABEL-PET,Polyester label stock,3M,Supplier,10,pcs,25038-59-9
43,1,PACKAGING-PE,Polyethylene anti-static bag,Generic,Supplier,5,pcs,9002-88-4
44,1,PACKAGING-PS,Polystyrene foam packaging,Generic,Supplier,2,pcs,9003-53-6
45,1,CABLE-PVC,PVC insulated wire 24AWG,Alpha Wire,DigiKey,5,m,9002-86-2|7440-50-8
46,1,CABLE-PP,Polypropylene cable tie,Generic,Supplier,20,pcs,9003-07-0
47,1,POTTING-PU,Polyurethane potting compound,Henkel,DigiKey,50,g,9009-54-5
48,1,VARNISH-PA,Phenolic conformal varnish,Electrodag,DigiKey,25,g,9003-35-4|108-88-3
49,1,TAPE-KAPTON,Polyimide tape 25mm,Kapton,DigiKey,1,roll,25036-53-7
50,1,SPACER-NYLON,Nylon 6/6 standoff,Keystone,DigiKey,10,pcs,32131-17-2
51,1,SCREW-SS,Stainless steel M3 screw,Generic,Supplier,10,pcs,7439-89-6|7440-02-0
52,1,WASHER-CU,Copper washer for grounding,Generic,Supplier,10,pcs,7440-50-8
53,1,CLIP-SPRING-STEEL,Spring steel battery contact,Keystone,DigiKey,4,pcs,7439-89-6
54,1,MAGNET-ND,Neodymium magnet,N52 Magnets,Supplier,2,pcs,12023-91-5
55,1,CRYSTAL-SAW,Surface acoustic wave filter crystal,Murata,DigiKey,1,pcs,14808-60-7
56,1,DIODE-SIC,Silicon carbide Schottky diode,Infineon,DigiKey,2,pcs,409-21-2
57,1,TRANSISTOR-GAAS,Gallium arsenide RF transistor,Qorvo,DigiKey,1,pcs,1303-00-0
58,1,POWER-IC-GAN,Gallium nitride power IC,Navitas,DigiKey,1,pcs,25617-97-4
59,1,OPTO-ISOLATOR,Optocoupler LED/phototransistor,ON Semi,DigiKey,2,pcs,7440-21-3
60,1,VARISTOR-ZNO,Zinc oxide varistor 14mm,Bourns,DigiKey,2,pcs,1314-13-2
